poemId	authorKo	titleKo	assetSlot	sourcePolicyId	url	collectionTitle	entryTitle
KHS-JEONG-W1-T2-0001	정지상	향연치어	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E6%9D%B1%E6%96%87%E9%81%B8/%E5%8D%B7%E4%B8%80%E7%99%BE%E5%9B%9B	東文選 卷一百四	冊王太子御宴致語
KHS-JEONG-W1-T2-0001	정지상	향연치어	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E6%9D%B1%E6%96%87%E9%81%B8/%E5%8D%B7%E4%B8%80%E7%99%BE%E5%9B%9B		
KHS-JEONG-W1-T2-0002	정지상	백률사	sourceWork	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/zh/%E6%96%B0%E5%A2%9E%E6%9D%B1%E5%9C%8B%E8%BC%BF%E5%9C%B0%E5%8B%9D%E8%A6%BD/%E5%8D%B7021	新增東國輿地勝覽 卷021	柏栗寺
KHS-JEONG-W1-T2-0002	정지상	백률사	originalText	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/zh/%E6%96%B0%E5%A2%9E%E6%9D%B1%E5%9C%8B%E8%BC%BF%E5%9C%B0%E5%8B%9D%E8%A6%BD/%E5%8D%B7021		
