poemId	authorKo	titleKo	asset	exists	sourcePolicyId	sourceUrl	copyrightStatus	usageClass	publicDisplayAllowedNow	commercialAllowedNow	requiresPermissionForCommercial	mustReplaceBeforeCommercial	replacementPriority	attributionRequired	recordCommercialReady	blockingAssets	replacementRequired
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0008	최치원	饒州鄱陽亭	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0009	최치원	山陽 與鄕友話別	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0010	최치원	題芋江驛亭	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0011	최치원	春日 邀知友不至	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0012	최치원	留別西京金少尹	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0013	최치원	贈金川寺主	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E5%AD%A4%E9%9B%B2%E9%9B%86/%E5%8D%B7%E4%B8%80	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-CHOE-W1-0013	최치원	贈金川寺主	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0013	최치원	贈金川寺主	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0013	최치원	贈金川寺主	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0013	최치원	贈金川寺主	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-CHOE-W1-0013	최치원	贈金川寺主	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
