poemId	authorKo	titleKo	asset	exists	sourcePolicyId	sourceUrl	copyrightStatus	usageClass	publicDisplayAllowedNow	commercialAllowedNow	requiresPermissionForCommercial	mustReplaceBeforeCommercial	replacementPriority	attributionRequired	recordCommercialReady	blockingAssets	replacementRequired
KHS-COLLECT-0007	정지상	신설	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0007	정지상	신설	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0007	정지상	신설	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0007	정지상	신설	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0007	정지상	신설	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0008	허난설헌	송하곡적갑산	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E8%98%AD%E9%9B%AA%E8%BB%92%E8%A9%A9%E9%9B%86	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-COLLECT-0008	허난설헌	송하곡적갑산	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0008	허난설헌	송하곡적갑산	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0008	허난설헌	송하곡적갑산	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0008	허난설헌	송하곡적갑산	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0008	허난설헌	송하곡적갑산	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0009	허난설헌	곡자	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E8%98%AD%E9%9B%AA%E8%BB%92%E8%A9%A9%E9%9B%86	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-COLLECT-0009	허난설헌	곡자	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0009	허난설헌	곡자	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0009	허난설헌	곡자	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0009	허난설헌	곡자	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0009	허난설헌	곡자	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0010	허난설헌	견흥	originalText	true	SRC-WIKISOURCE-TEXT	https://zh.wikisource.org/wiki/%E8%98%AD%E9%9B%AA%E8%BB%92%E8%A9%A9%E9%9B%86	licensed	commercial_allowed	true	true	false	false	low	true	true		
KHS-COLLECT-0010	허난설헌	견흥	legacyTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0010	허난설헌	견흥	legacyNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0010	허난설헌	견흥	ownedTranslation	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0010	허난설헌	견흥	ownedNotes	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0010	허난설헌	견흥	images	false			unknown	not_applicable	false	false	false	false	low	false	true		
KHS-COLLECT-0011	허난설헌	이별이 잦아	originalText	true	SRC-WIKISOURCE-TEXT	https://ko.wikisource.org/wiki/%EC%A1%B0%EC%84%A0%EC%97%AC%EB%A5%98%ED%95%9C%EC%8B%9C%EC%84%A0%EC%A7%91/%EC%9D%B4%EB%B3%84%EC%9D%B4_%EC%9E%A6%EC%95%84	licensed	commercial_allowed	true	true	false	false	low	true	true		
